"filename", "language", "CSS", "JavaScript", "Markdown", "JSON with Comments", "HTML", "JSON", "comment", "blank", "total"
"c:\Users\ronik\OneDrive\Documents\FInalProjectP5JS\.cache\replit\nix\env.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\ronik\OneDrive\Documents\FInalProjectP5JS\.config\configstore\update-notifier-npm.json", "JSON", 0, 0, 0, 0, 0, 4, 0, 0, 4
"c:\Users\ronik\OneDrive\Documents\FInalProjectP5JS\README.md", "Markdown", 0, 0, 4, 0, 0, 0, 0, 6, 10
"c:\Users\ronik\OneDrive\Documents\FInalProjectP5JS\index.html", "HTML", 0, 0, 0, 0, 26, 0, 0, 0, 26
"c:\Users\ronik\OneDrive\Documents\FInalProjectP5JS\jsconfig.json", "JSON with Comments", 0, 0, 0, 7, 0, 0, 3, 0, 10
"c:\Users\ronik\OneDrive\Documents\FInalProjectP5JS\libraries\p5.gui.js", "JavaScript", 0, 149, 0, 0, 0, 0, 48, 55, 252
"c:\Users\ronik\OneDrive\Documents\FInalProjectP5JS\libraries\p5.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1, 0, 2
"c:\Users\ronik\OneDrive\Documents\FInalProjectP5JS\libraries\p5.sound.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 2, 0, 3
"c:\Users\ronik\OneDrive\Documents\FInalProjectP5JS\libraries\quicksettings.js", "JavaScript", 0, 965, 0, 0, 0, 0, 496, 181, 1642
"c:\Users\ronik\OneDrive\Documents\FInalProjectP5JS\scripts\Bg.js", "JavaScript", 0, 32, 0, 0, 0, 0, 1, 2, 35
"c:\Users\ronik\OneDrive\Documents\FInalProjectP5JS\scripts\Block.js", "JavaScript", 0, 18, 0, 0, 0, 0, 3, 3, 24
"c:\Users\ronik\OneDrive\Documents\FInalProjectP5JS\scripts\Camera.js", "JavaScript", 0, 151, 0, 0, 0, 0, 12, 21, 184
"c:\Users\ronik\OneDrive\Documents\FInalProjectP5JS\scripts\DirtBlock.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 5
"c:\Users\ronik\OneDrive\Documents\FInalProjectP5JS\scripts\Gm.js", "JavaScript", 0, 8, 0, 0, 0, 0, 1, 1, 10
"c:\Users\ronik\OneDrive\Documents\FInalProjectP5JS\scripts\GrassBlock.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 5
"c:\Users\ronik\OneDrive\Documents\FInalProjectP5JS\scripts\Hitbox.js", "JavaScript", 0, 35, 0, 0, 0, 0, 0, 5, 40
"c:\Users\ronik\OneDrive\Documents\FInalProjectP5JS\scripts\LeafBlock.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 5
"c:\Users\ronik\OneDrive\Documents\FInalProjectP5JS\scripts\LogBlock.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 5
"c:\Users\ronik\OneDrive\Documents\FInalProjectP5JS\scripts\Player.js", "JavaScript", 0, 73, 0, 0, 0, 0, 32, 8, 113
"c:\Users\ronik\OneDrive\Documents\FInalProjectP5JS\scripts\StoneBlock.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 5
"c:\Users\ronik\OneDrive\Documents\FInalProjectP5JS\scripts\Tools.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 1, 16
"c:\Users\ronik\OneDrive\Documents\FInalProjectP5JS\scripts\TreeMaps.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 2, 23
"c:\Users\ronik\OneDrive\Documents\FInalProjectP5JS\scripts\script.js", "JavaScript", 0, 116, 0, 0, 0, 0, 35, 20, 171
"c:\Users\ronik\OneDrive\Documents\FInalProjectP5JS\style.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"Total", "-", 0, 1610, 4, 7, 26, 5, 634, 306, 2592
