"filename", "language", "CSS", "JavaScript", "JSON with Comments", "HTML", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\ronik\OneDrive\Documents\FInalProjectP5JS\.cache\replit\nix\env.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\ronik\OneDrive\Documents\FInalProjectP5JS\.config\configstore\update-notifier-npm.json", "JSON", 0, 0, 0, 0, 4, 0, 0, 0, 4
"c:\Users\ronik\OneDrive\Documents\FInalProjectP5JS\README.md", "Markdown", 0, 0, 0, 0, 0, 4, 0, 6, 10
"c:\Users\ronik\OneDrive\Documents\FInalProjectP5JS\index.html", "HTML", 0, 0, 0, 46, 0, 0, 0, 0, 46
"c:\Users\ronik\OneDrive\Documents\FInalProjectP5JS\jsconfig.json", "JSON with Comments", 0, 0, 7, 0, 0, 0, 3, 0, 10
"c:\Users\ronik\OneDrive\Documents\FInalProjectP5JS\libraries\p5.gui.js", "JavaScript", 0, 149, 0, 0, 0, 0, 48, 55, 252
"c:\Users\ronik\OneDrive\Documents\FInalProjectP5JS\libraries\p5.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1, 0, 2
"c:\Users\ronik\OneDrive\Documents\FInalProjectP5JS\libraries\p5.sound.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 2, 0, 3
"c:\Users\ronik\OneDrive\Documents\FInalProjectP5JS\libraries\quicksettings.js", "JavaScript", 0, 965, 0, 0, 0, 0, 496, 181, 1642
"c:\Users\ronik\OneDrive\Documents\FInalProjectP5JS\scripts\Bg.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 2, 34
"c:\Users\ronik\OneDrive\Documents\FInalProjectP5JS\scripts\Block.js", "JavaScript", 0, 24, 0, 0, 0, 0, 3, 4, 31
"c:\Users\ronik\OneDrive\Documents\FInalProjectP5JS\scripts\Button.js", "JavaScript", 0, 96, 0, 0, 0, 0, 0, 18, 114
"c:\Users\ronik\OneDrive\Documents\FInalProjectP5JS\scripts\Camera.js", "JavaScript", 0, 172, 0, 0, 0, 0, 33, 22, 227
"c:\Users\ronik\OneDrive\Documents\FInalProjectP5JS\scripts\CraftingTable.js", "JavaScript", 0, 134, 0, 0, 0, 0, 8, 25, 167
"c:\Users\ronik\OneDrive\Documents\FInalProjectP5JS\scripts\GUI.js", "JavaScript", 0, 41, 0, 0, 0, 0, 3, 7, 51
"c:\Users\ronik\OneDrive\Documents\FInalProjectP5JS\scripts\GameItem.js", "JavaScript", 0, 35, 0, 0, 0, 0, 0, 9, 44
"c:\Users\ronik\OneDrive\Documents\FInalProjectP5JS\scripts\Gm.js", "JavaScript", 0, 11, 0, 0, 0, 0, 1, 2, 14
"c:\Users\ronik\OneDrive\Documents\FInalProjectP5JS\scripts\HealthBar.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 6, 34
"c:\Users\ronik\OneDrive\Documents\FInalProjectP5JS\scripts\Hitbox.js", "JavaScript", 0, 38, 0, 0, 0, 0, 0, 6, 44
"c:\Users\ronik\OneDrive\Documents\FInalProjectP5JS\scripts\Hotbar.js", "JavaScript", 0, 85, 0, 0, 0, 0, 0, 8, 93
"c:\Users\ronik\OneDrive\Documents\FInalProjectP5JS\scripts\MainMenu.js", "JavaScript", 0, 41, 0, 0, 0, 0, 0, 3, 44
"c:\Users\ronik\OneDrive\Documents\FInalProjectP5JS\scripts\Menu.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 6
"c:\Users\ronik\OneDrive\Documents\FInalProjectP5JS\scripts\PauseMenu.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 2, 23
"c:\Users\ronik\OneDrive\Documents\FInalProjectP5JS\scripts\Player.js", "JavaScript", 0, 92, 0, 0, 0, 0, 32, 12, 136
"c:\Users\ronik\OneDrive\Documents\FInalProjectP5JS\scripts\Tools.js", "JavaScript", 0, 28, 0, 0, 0, 0, 3, 4, 35
"c:\Users\ronik\OneDrive\Documents\FInalProjectP5JS\scripts\TreeMaps.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 2, 23
"c:\Users\ronik\OneDrive\Documents\FInalProjectP5JS\scripts\World.js", "JavaScript", 0, 41, 0, 0, 0, 0, 11, 6, 58
"c:\Users\ronik\OneDrive\Documents\FInalProjectP5JS\scripts\blocks\CoalOre.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 7
"c:\Users\ronik\OneDrive\Documents\FInalProjectP5JS\scripts\blocks\DirtBlock.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 7
"c:\Users\ronik\OneDrive\Documents\FInalProjectP5JS\scripts\blocks\GrassBlock.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 7
"c:\Users\ronik\OneDrive\Documents\FInalProjectP5JS\scripts\blocks\IronOre.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 7
"c:\Users\ronik\OneDrive\Documents\FInalProjectP5JS\scripts\blocks\LeafBlock.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 7
"c:\Users\ronik\OneDrive\Documents\FInalProjectP5JS\scripts\blocks\LogBlock.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 7
"c:\Users\ronik\OneDrive\Documents\FInalProjectP5JS\scripts\blocks\PlanksBlock.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 1, 11
"c:\Users\ronik\OneDrive\Documents\FInalProjectP5JS\scripts\blocks\StoneBlock.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 7
"c:\Users\ronik\OneDrive\Documents\FInalProjectP5JS\scripts\items\Axe.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 5
"c:\Users\ronik\OneDrive\Documents\FInalProjectP5JS\scripts\items\Axe2.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 5
"c:\Users\ronik\OneDrive\Documents\FInalProjectP5JS\scripts\items\Coal.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 5
"c:\Users\ronik\OneDrive\Documents\FInalProjectP5JS\scripts\items\Furnace.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 5
"c:\Users\ronik\OneDrive\Documents\FInalProjectP5JS\scripts\items\Iron.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 5
"c:\Users\ronik\OneDrive\Documents\FInalProjectP5JS\scripts\items\Pickaxe.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 5
"c:\Users\ronik\OneDrive\Documents\FInalProjectP5JS\scripts\items\Pickaxe2.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 5
"c:\Users\ronik\OneDrive\Documents\FInalProjectP5JS\scripts\items\Stick.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 5
"c:\Users\ronik\OneDrive\Documents\FInalProjectP5JS\scripts\script.js", "JavaScript", 0, 248, 0, 0, 0, 0, 25, 32, 305
"c:\Users\ronik\OneDrive\Documents\FInalProjectP5JS\style.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"Total", "-", 0, 2409, 7, 46, 5, 4, 669, 414, 3554
